100	410	912	184	668	547	211	354	893	898	
66	801	225	79	825	694	935	350	178	937	
824	112	885	82	84	436	866	978	139	914	
833	175	558	137	906	393	993	533	280	206	
791	358	933	485	333	418	646	80	941	722	
136	780	216	983	750	397	637	995	369	960	
540	981	960	969	140	641	438	86	186	220	
368	561	765	640	731	416	826	844	425	788	
468	530	662	904	963	407	796	728	914	236	
546	496	807	327	155	459	18	848	142	783	
189	99	538	602	399	664	536	675	934	450	
551	742	23	387	208	219	134	944	299	579	
700	589	219	195	177	654	332	711	762	967	
434	405	235	43	497	535	685	290	539	839	
692	343	19	189	719	123	167	645	123	961	
22	114	305	795	514	991	720	581	628	549	
938	687	836	645	489	531	140	826	453	756	
891	298	431	274	255	483	677	35	658	946	
65	645	267	81	347	39	168	132	997	472	
248	868	10	617	796	117	660	820	414	203	
710	167	760	47	538	233	791	581	815	356	
48	546	345	222	761	895	194	994	165	551	
480	341	505	742	43	630	748	51	287	123	
311	572	65	672	187	463	412	356	299	628	
907	109	595	134	647	559	799	945	851	533	
701	844	501	955	161	945	633	978	500	878	
775	617	879	337	75	953	738	815	991	890	
225	342	205	25	132	566	562	400	210	700	
341	568	390	736	545	900	92	201	143	163	
769	732	313	842	877	536	36	216	475	356	
18	982	903	819	975	924	635	492	105	664	
501	659	138	624	863	626	7	852	614	425	
35	692	936	665	450	52	703	455	34	889	
553	545	279	648	507	522	456	804	59	522	
603	589	211	808	501	25	930	243	729	320	
283	418	434	996	829	817	588	45	563	433	
560	712	82	249	625	965	352	142	567	368	
616	330	458	913	637	957	945	87	97	657	
332	535	56	418	643	784	384	357	683	838	
129	664	589	764	337	182	308	877	81	983	
210	509	171	748	725	439	705	466	624	658	
660	727	288	783	407	330	734	801	351	282	
537	244	454	287	549	99	934	744	894	500	
117	322	839	516	558	968	309	262	745	224	
58	810	37	363	217	16	425	309	956	898	
983	767	956	439	752	501	839	364	599	860	
353	215	872	37	214	375	712	824	872	485	
897	319	315	708	232	94	518	504	874	149	
326	67	21	2	560	944	638	7	860	311	
734	886	305	5	416	599	305	19	517	13	
869	534	471	888	181	524	458	783	766	953	
453	162	444	841	979	756	561	24	597	722	
609	247	197	983	908	76	140	899	352	270	
577	695	279	24	125	409	787	684	79	823	
898	699	879	107	623	969	768	890	327	655	
534	360	952	857	506	510	114	210	597	392	
960	919	455	601	180	146	189	295	757	448	
622	258	570	407	124	632	964	975	858	558	
998	811	850	808	781	775	833	390	455	472	
869	187	567	350	807	89	460	947	800	617	
69	120	864	748	415	86	935	979	217	114	
229	760	774	895	424	498	641	927	652	812	
315	830	567	887	126	49	985	358	674	927	
618	240	850	170	954	14	61	238	463	313	
384	526	571	444	642	623	400	824	184	465	
880	340	951	480	84	84	141	353	706	310	
455	452	637	35	749	572	728	105	951	762	
293	814	973	451	28	499	219	751	161	579	
24	577	305	840	921	92	623	821	685	212	
40	493	465	385	871	121	677	779	351	263	
834	667	799	895	448	279	482	291	360	311	
655	963	65	554	745	597	458	166	79	41	
603	340	328	879	432	478	340	229	272	750	
213	7	639	466	35	65	119	415	172	84	
99	527	491	654	707	991	413	385	478	8	
894	82	861	709	852	281	562	727	57	328	
519	876	561	210	276	165	806	356	844	157	
587	121	453	795	527	804	822	50	812	455	
711	56	695	22	193	399	853	815	188	289	
597	512	691	296	460	269	30	579	599	48	
712	384	777	614	278	199	672	878	700	747	
279	657	464	805	838	390	154	246	306	625	
267	10	744	895	605	655	449	302	717	507	
987	24	764	250	117	670	892	757	398	152	
23	385	732	298	793	279	800	949	328	171	
507	5	535	637	507	706	809	261	987	435	
441	319	663	251	955	865	826	297	980	857	
477	119	551	201	610	714	281	293	47	713	
648	112	44	327	555	489	938	455	227	804	
447	597	656	63	997	123	267	334	827	597	
682	521	937	20	812	970	660	143	409	14	
771	345	742	704	888	939	356	724	289	697	
217	463	906	671	282	280	808	942	742	171	
937	941	31	741	216	674	508	738	795	942	
223	898	851	190	50	923	886	179	68	806	
623	820	90	474	971	177	41	89	824	494	
219	603	41	388	894	262	5	356	684	240	
50	320	784	748	210	403	30	403	450	796	
45	408	825	838	619	249	964	436	116	930	
132	214	16	441	100	564	407	438	709	517	
183	963	567	988	43	234	525	141	184	210	
935	409	968	803	57	156	139	337	368	632	
919	5	9	118	701	662	308	106	904	407	
874	592	944	921	919	674	910	131	45	760	
999	734	70	695	798	958	279	6	247	581	
717	632	21	561	181	407	400	306	711	909	
234	236	688	316	587	563	54	981	361	356	
854	891	690	555	920	629	417	892	387	568	
290	374	507	711	422	16	662	845	381	57	
654	606	787	129	242	637	908	127	497	888	
700	981	168	630	570	238	402	749	61	294	
411	154	817	267	890	417	914	633	963	755	
608	575	589	59	929	106	9	420	746	761	
137	301	770	95	11	923	927	886	320	982	
732	818	319	248	253	47	687	490	365	930	
84	851	709	855	863	256	645	61	29	685	
618	174	800	828	10	328	427	653	924	806	
750	537	476	815	22	573	372	187	95	218	
325	489	567	468	959	224	463	940	297	317	
548	84	22	116	364	433	394	118	138	415	
456	625	166	529	526	157	8	645	37	229	
741	777	651	445	71	274	113	207	322	394	
257	599	104	957	517	8	917	996	189	273	
706	629	745	990	47	931	705	488	665	844	
303	617	184	670	917	283	442	486	430	690	
276	707	395	755	26	984	174	117	145	578	
970	51	168	141	621	858	592	855	659	405	
601	316	177	215	946	189	64	498	300	880	
433	845	832	555	963	448	307	22	804	838	
986	692	121	11	999	955	822	417	339	52	
357	86	893	91	844	655	823	89	87	565	
383	552	187	849	801	373	203	196	480	364	
832	221	501	53	600	431	366	577	113	801	
684	527	893	28	528	722	211	390	482	160	
8	298	534	51	893	785	840	284	620	115	
799	489	538	643	219	167	290	806	442	575	
120	381	668	364	114	850	779	972	512	322	
865	872	432	168	891	50	84	254	301	272	
756	440	831	641	634	823	28	45	434	543	
647	689	946	314	240	957	663	91	577	995	
741	555	213	571	991	944	267	852	431	231	
500	859	899	894	617	71	152	928	629	549	
467	797	538	548	112	173	492	908	655	108	
991	274	998	721	975	478	866	99	509	953	
307	544	6	820	675	443	221	763	89	221	
114	917	308	926	372	221	775	830	860	510	
202	677	419	457	139	108	946	289	772	774	
449	611	391	790	256	450	822	772	425	809	
555	402	271	199	875	799	965	71	773	939	
887	855	754	531	327	286	563	539	933	318	
812	264	348	1	306	90	709	191	110	182	
464	550	28	350	601	839	946	384	280	338	
385	302	574	500	371	274	943	746	173	980	
259	924	917	659	784	129	340	306	202	14	
787	947	423	307	610	877	502	655	208	613	
485	803	177	2	79	646	348	27	584	144	
742	163	443	329	923	628	796	296	303	425	
13	964	249	102	753	213	907	678	145	894	
46	890	653	138	267	855	660	571	979	119	
53	823	727	691	689	396	154	822	872	712	
315	224	260	394	552	934	780	10	66	391	
726	975	376	12	607	65	3	201	567	552	
730	343	329	725	72	885	725	186	560	970	
489	31	976	751	88	469	625	872	325	851	
759	7	586	461	179	996	675	189	14	704	
278	843	446	974	24	399	137	787	832	316	
760	463	233	947	984	233	482	3	673	507	
63	110	494	345	35	420	937	980	580	916	
306	809	546	409	22	317	339	32	511	228	
148	473	433	962	143	467	430	815	60	361	
834	948	688	578	817	235	264	890	428	596	
351	142	209	276	764	263	115	334	539	98	
890	887	79	915	849	717	514	103	823	749	
357	629	227	497	6	573	912	967	616	93	
618	404	211	803	34	291	867	868	792	94	
967	886	431	269	332	171	704	322	69	519	
475	602	237	981	650	254	346	904	970	860	
372	961	283	913	153	866	959	357	76	465	
209	564	575	641	352	756	116	920	336	884	
205	972	255	69	959	357	7	738	468	332	
380	528	759	659	86	717	131	744	409	543	
154	243	135	911	955	583	726	984	581	787	
462	904	874	799	337	483	140	397	969	260	
523	874	639	876	81	518	115	37	250	942	
765	838	340	184	82	370	932	638	592	690	
623	890	648	387	115	52	331	34	288	260	
740	609	244	288	690	989	851	385	420	42	
822	483	994	819	771	710	102	647	388	281	
715	580	608	441	115	814	607	913	690	382	
551	472	35	485	838	178	805	840	945	724	
450	960	759	650	15	975	830	411	252	774	
662	718	696	782	821	413	838	617	25	414	
214	889	969	784	52	724	26	951	143	198	
567	433	119	279	826	776	562	132	160	531	
425	869	916	120	57	183	707	542	197	566	
931	557	28	439	218	796	229	842	703	219	
494	22	448	140	887	365	877	156	180	395	
49	991	344	371	376	310	543	998	665	546	
285	208	678	970	12	403	770	818	83	280	
115	728	618	773	108	987	478	464	762	851	
940	919	253	577	474	964	130	11	511	684	
244	754	453	712	160	670	153	699	498	937	
207	731	518	266	553	943	843	810	165	116	
569	25	148	936	532	58	878	943	776	123	
369	704	476	956	48	527	746	962	486	902	
