1	58	768	525	871	963	4	211	673	593	135	
2	452	890	407	951	334	476	320	312	783	240	
3	640	875	864	516	710	468	109	787	165	552	
4	316	341	789	611	699	532	375	94	564	550	
5	609	105	88	131	343	109	543	560	980	409	
6	690	310	353	450	123	47	275	460	809	952	
7	42	151	695	940	36	565	510	420	47	70	
8	242	558	61	174	86	809	298	154	765	764	
9	561	577	320	51	542	65	328	670	737	798	
10	846	755	990	365	759	632	632	103	2	935	
11	491	291	93	267	215	438	678	480	148	291	
12	190	514	176	477	513	766	57	452	371	798	
13	374	725	439	338	148	986	433	805	841	189	
14	863	760	315	297	967	395	291	394	388	52	
15	575	6	622	876	992	753	831	928	520	53	
16	83	738	279	776	635	653	839	544	502	242	
17	18	684	584	177	847	262	706	265	156	969	
18	752	385	602	328	474	727	716	343	490	398	
19	522	887	265	75	670	942	177	434	811	768	
127	828	630	319	733	25	387	171	197	74	322	
21	301	529	484	870	955	684	126	478	310	117	
467	109	24	453	543	312	97	458	194	616	342	
22	387	500	121	333	53	11	871	152	371	722	
468	380	607	860	805	731	246	245	445	456	291	
23	966	64	420	768	713	22	107	65	307	375	
469	110	325	53	645	856	40	460	339	108	726	
24	918	491	233	129	465	447	859	244	888	924	
470	577	163	375	997	360	221	355	250	803	771	
25	96	300	765	710	722	593	301	323	645	76	
471	445	199	86	72	414	568	194	737	769	51	
26	479	71	447	876	783	157	313	643	75	134	
472	841	378	853	691	189	349	97	159	621	18	
27	85	539	662	760	867	374	952	292	335	358	
473	564	810	400	243	28	706	153	801	703	509	
28	994	371	897	874	511	15	357	668	627	95	
474	899	495	972	437	73	81	988	79	398	174	
29	885	108	392	627	795	306	759	873	244	426	
475	406	793	723	665	577	741	99	452	179	294	
84	137	94	225	584	415	302	566	451	385	568	
797	62	250	392	590	421	24	202	344	171	594	
85	791	513	64	29	107	231	324	170	804	301	
798	103	639	583	982	990	170	625	379	731	378	
86	443	945	358	327	224	542	836	792	419	292	
799	119	746	503	928	936	351	771	287	12	471	
87	943	186	435	279	80	611	687	298	989	462	
800	974	322	877	396	157	686	36	215	890	973	
318	73	59	173	644	724	269	51	874	555	141	
801	571	469	374	332	755	774	748	308	116	985	
319	196	664	400	665	405	581	775	577	14	374	
802	692	955	912	79	826	493	62	742	504	182	
320	175	857	124	508	829	750	797	184	438	624	
803	96	964	729	375	993	679	100	744	431	606	
582	303	298	84	601	201	261	655	51	306	149	
804	120	287	880	276	744	154	771	552	257	862	
583	2	21	278	653	27	349	111	995	949	30	
877	34	67	54	4	142	90	630	626	547	541	
584	949	17	298	200	5	699	151	945	541	586	
879	654	377	409	297	212	120	470	522	932	994	
585	77	565	196	492	707	753	138	935	788	414	
382	39	95	77	424	293	805	60	584	244	115	
586	205	465	347	621	789	17	668	490	939	290	
383	236	331	394	147	903	343	321	874	220	429	
587	161	433	962	90	771	559	53	973	985	880	
384	166	833	727	220	716	671	88	153	875	421	
588	569	51	953	937	540	407	560	294	701	8	
385	869	525	70	368	560	732	711	614	30	241	
375	94	617	768	270	11	821	397	159	6	633	
386	77	539	757	119	830	102	127	271	881	4	
376	481	241	629	420	787	310	546	131	516	19	
387	110	855	943	799	392	401	921	550	84	991	
377	330	94	884	58	320	124	922	666	758	266	
388	417	340	188	831	107	41	483	690	899	334	
378	951	37	900	710	186	518	543	482	903	427	
389	976	449	922	439	165	191	136	197	810	16	
379	858	237	205	934	301	123	649	466	905	179	
390	39	630	361	17	293	430	450	651	938	830	
380	708	606	364	278	880	978	681	745	75	117	
481	7	19	175	183	164	481	557	36	768	182	
381	147	909	267	569	702	123	403	186	458	977	
482	66	121	649	389	476	152	318	465	633	666	
392	287	811	939	949	399	832	998	169	329	569	
483	526	723	222	446	599	873	834	879	131	435	
393	491	345	571	472	127	68	395	279	803	311	
484	450	398	271	862	247	577	667	854	44	615	
394	663	463	207	208	310	178	750	297	392	135	
486	17	318	684	119	767	673	640	129	176	481	
395	880	33	455	666	425	253	205	414	437	684	
487	35	802	939	7	272	41	285	576	302	176	
489	769	449	667	281	457	170	555	674	331	628	
266	845	171	941	62	142	558	441	683	1	156	
678	451	1	238	207	494	681	34	193	231	906	
397	50	214	29	462	210	244	713	19	562	418	
679	624	26	695	723	517	454	718	951	686	181	
680	129	695	725	295	616	178	8	738	190	993	
37	28	918	220	324	407	145	340	347	68	69	
681	610	219	456	771	335	138	47	635	939	61	
38	917	111	414	857	291	160	521	358	884	668	
682	509	983	605	164	577	641	429	4	671	330	
